model,amusement,anger,aroused,attachment love,awe,calm,craving,disgust,excitement,fear,joy,motivated to approach,motivated to avoid,negative,neutral,nurturant love,positive,sadness,mean_mae
gemma-vl-3-27b,0.91,0.57,1.27,0.88,0.71,0.86,0.44,0.64,0.96,0.62,0.75,0.76,0.85,0.64,0.58,0.81,0.52,0.76,0.75
qwen-vl-2.5-7b,1.03,0.75,1.87,1.25,0.98,0.98,0.48,0.49,0.99,0.51,0.9,0.86,0.52,0.54,0.52,1.03,0.66,0.56,0.83
qwen-vl-2.5-72b,0.9,0.6,2.12,0.99,0.91,1.0,0.66,0.55,1.15,0.56,0.86,1.02,0.8,0.64,1.11,1.04,0.6,0.65,0.9
gemini-2.5-flash,1.47,0.71,2.19,1.1,1.18,0.9,0.87,0.61,1.1,0.7,1.14,1.24,0.93,0.69,1.11,1.26,0.88,0.61,1.04
gpt-4.1,1.24,0.59,1.75,1.32,1.17,0.93,0.89,0.7,1.21,0.78,1.16,1.51,1.17,0.73,1.08,1.21,0.97,0.52,1.05
intern-vl-3.5-8b,1.27,0.67,1.86,1.33,1.49,1.26,0.72,0.76,1.45,0.81,1.46,1.23,0.85,0.7,1.09,1.35,1.0,0.81,1.12
