model,amusement,anger,aroused,attachment love,awe,calm,craving,disgust,excitement,fear,joy,motivated to approach,motivated to avoid,negative,neutral,nurturant love,positive,sadness,mean_pearson_r
gemini-2.5-flash,0.74,0.91,0.41,0.89,0.69,0.85,0.88,0.91,0.72,0.96,0.95,0.87,0.94,0.96,0.7,0.86,0.94,0.95,0.84
qwen-vl-2.5-72b,0.8,0.75,0.42,0.88,0.73,0.82,0.88,0.92,0.58,0.95,0.95,0.91,0.95,0.96,0.62,0.87,0.97,0.92,0.83
gemma-vl-3-27b,0.79,0.81,0.32,0.88,0.71,0.89,0.9,0.93,0.59,0.94,0.93,0.87,0.93,0.95,0.66,0.88,0.95,0.9,0.82
gpt-4.1,0.76,0.88,0.45,0.86,0.56,0.87,0.88,0.95,0.6,0.96,0.95,0.54,0.96,0.97,0.61,0.87,0.96,0.95,0.81
intern-vl-3.5-8b,0.73,0.64,0.56,0.88,0.72,0.8,0.83,0.9,0.7,0.92,0.95,0.86,0.93,0.94,0.43,0.84,0.96,0.91,0.81
qwen-vl-2.5-7b,0.74,0.54,0.53,0.87,0.74,0.78,0.91,0.92,0.71,0.89,0.9,0.87,0.93,0.95,0.6,0.85,0.96,0.87,0.81
