emotion,n_pairs,context_mae,no_context_mae,mean_error_reduction,std_error_reduction,cohens_d,ci_95_lower,ci_95_upper
Amusement,29178,1.6026801014462952,1.6373610254301185,0.03468092398382343,0.6660752603926904,0.05206757561206671,0.0405929546777123,0.06354219654642113
Anger,29030,0.9827419910437478,0.9498580778504995,-0.03288391319324836,0.5970090908741345,-0.05508109289441486,-0.06658492888526109,-0.043577256903568624
Approach,29079,1.6232332611162694,1.6555335465456171,0.032300285429347646,0.5474912624927788,0.05899689664869067,0.04750275790665571,0.07049103539072564
Aroused,29015,2.7691538859210754,2.7582498707565053,-0.010904015164570046,0.6564435667499281,-0.01661074266986293,-0.028117552116474476,-0.005103933223251388
Attachment love,29121,1.54304453830569,1.5334130009271658,-0.009631537378524093,0.6629151857431508,-0.014529064329287928,-0.026014910633224347,-0.003043218025351507
Avoid,29097,1.20125786163522,1.2115269615424271,0.010269099907206924,0.45357055009655667,0.02264057907864791,0.011149996437317016,0.0341311617199788
Awe,29011,1.7251387404777498,1.7077129364723724,-0.017425804005377275,0.743943445212076,-0.02342356010732738,-0.03493116286496062,-0.01191595734969414
Calm,28995,1.4158648042765993,1.4266818416968443,0.010817037420244863,0.6444873805855296,0.016783939835125043,0.0052731621918216025,0.028294717478428485
Craving,29112,0.9659247045891729,0.9527940368233032,-0.013130667765869745,0.4481221346088122,-0.029301538022289728,-0.04078915976631638,-0.017813916278263075
Disgust,29102,0.9434746752800495,0.8702907016699883,-0.07318397361006117,0.7258308272459925,-0.10082786630562644,-0.11231746172681659,-0.08933827088443629
Excitement,29092,1.8245909528392685,1.7596493881479445,-0.06494156469132407,0.7462309912708149,-0.08702608904078082,-0.09851765915677084,-0.0755345189247908
Fear,29121,1.0199168984581573,1.0648713986470244,0.044954500188867146,0.5042437612566313,0.08915231807099716,0.07766647176706074,0.10063816437493359
Joy,29082,1.3567842651812116,1.3856371638814386,0.02885289870022694,0.48964458732933985,0.05892620779818851,0.04743266196888745,0.07041975362748958
Negative,29108,0.9106431221657276,0.9226384499106774,0.011995327744949841,0.42743415769360904,0.02806356845619312,0.016575157363361487,0.03955197954902475
Neutral,29045,1.5002237906696505,1.5397713892236187,0.039547598553967986,0.7221390906555013,0.05476451706563866,0.04326365222665092,0.0662653819046264
Nurturant love,29077,1.631839598307941,1.5864057502493378,-0.04543384805860302,0.7685315141654685,-0.059117742371226814,-0.07061227643939874,-0.04762320830305488
Positive,29193,1.1709313876614258,1.1701723015791456,-0.0007590860822800014,0.7528900738032396,-0.0010082296323093523,-0.012479901988117817,0.010463442723499113
Sadness,29003,0.9757956073509637,0.9185608385339448,-0.05723476881701892,0.6916438560817119,-0.0827517924344247,-0.09426098230646313,-0.07124260256238624
