dataset,model,emotion,accuracy,precision,recall,f1_score,num_samples,blocked_filtered
LAIGAI,gpt-4.1,anger,0.1429,0.6667,0.1429,0.2353,14,True
LAIGAI,gpt-4.1,attachment love,1.0,0.1429,1.0,0.25,8,True
LAIGAI,gpt-4.1,awe,0.8667,0.5417,0.8667,0.6667,30,True
LAIGAI,gpt-4.1,craving,1.0,1.0,1.0,1.0,40,True
LAIGAI,gpt-4.1,disgust,0.9714,0.6296,0.9714,0.764,35,True
LAIGAI,gpt-4.1,excitement,0.9,0.72,0.9,0.8,20,True
LAIGAI,gpt-4.1,fear,0.9524,0.7018,0.9524,0.8081,42,True
LAIGAI,gpt-4.1,joy,0.3467,0.9123,0.3467,0.5024,150,True
LAIGAI,gpt-4.1,neutral,0.5238,0.7857,0.5238,0.6286,42,True
LAIGAI,gpt-4.1,nurturant love,0.8571,0.375,0.8571,0.5217,14,True
LAIGAI,gpt-4.1,sadness,0.6333,0.8261,0.6333,0.717,60,True
LAIGAI,gemma-vl-3-27b,amusement,0.72,0.7826,0.72,0.75,25,False
LAIGAI,gemma-vl-3-27b,anger,0.0714,0.3333,0.0714,0.1176,14,False
LAIGAI,gemma-vl-3-27b,attachment love,0.625,0.3571,0.625,0.4545,8,False
LAIGAI,gemma-vl-3-27b,awe,0.8667,0.5532,0.8667,0.6753,30,False
LAIGAI,gemma-vl-3-27b,craving,1.0,0.9756,1.0,0.9877,40,False
LAIGAI,gemma-vl-3-27b,disgust,0.9429,0.8049,0.9429,0.8684,35,False
LAIGAI,gemma-vl-3-27b,excitement,0.65,0.6842,0.65,0.6667,20,False
LAIGAI,gemma-vl-3-27b,fear,0.9524,0.8163,0.9524,0.8791,42,False
LAIGAI,gemma-vl-3-27b,joy,0.66,0.8462,0.66,0.7416,150,False
LAIGAI,gemma-vl-3-27b,neutral,0.5476,0.7931,0.5476,0.6479,42,False
LAIGAI,gemma-vl-3-27b,nurturant love,0.7143,0.4167,0.7143,0.5263,14,False
LAIGAI,gemma-vl-3-27b,sadness,0.9,0.7397,0.9,0.812,60,False
LAIGAI,intern-vl-3.5-8b,amusement,0.44,0.8462,0.44,0.5789,25,False
LAIGAI,intern-vl-3.5-8b,anger,0.2143,0.5,0.2143,0.3,14,False
LAIGAI,intern-vl-3.5-8b,attachment love,0.375,0.2143,0.375,0.2727,8,False
LAIGAI,intern-vl-3.5-8b,awe,0.8667,0.6341,0.8667,0.7324,30,False
LAIGAI,intern-vl-3.5-8b,craving,0.15,1.0,0.15,0.2609,40,False
LAIGAI,intern-vl-3.5-8b,disgust,0.7143,0.8065,0.7143,0.7576,35,False
LAIGAI,intern-vl-3.5-8b,excitement,0.7,0.5385,0.7,0.6087,20,False
LAIGAI,intern-vl-3.5-8b,fear,0.6667,0.8485,0.6667,0.7467,42,False
LAIGAI,intern-vl-3.5-8b,joy,0.9067,0.6154,0.9067,0.7332,150,False
LAIGAI,intern-vl-3.5-8b,neutral,0.2619,0.7857,0.2619,0.3929,42,False
LAIGAI,intern-vl-3.5-8b,nurturant love,0.0,0.0,0.0,0.0,14,False
LAIGAI,intern-vl-3.5-8b,sadness,0.9833,0.7867,0.9833,0.8741,60,False
LAIGAI,qwen-vl-2.5-7b,amusement,0.84,0.5385,0.84,0.6562,25,False
LAIGAI,qwen-vl-2.5-7b,anger,0.5,0.3333,0.5,0.4,14,False
LAIGAI,qwen-vl-2.5-7b,attachment love,1.0,0.1026,1.0,0.186,8,False
LAIGAI,qwen-vl-2.5-7b,awe,0.7333,0.7586,0.7333,0.7458,30,False
LAIGAI,qwen-vl-2.5-7b,craving,0.75,0.9677,0.75,0.8451,40,False
LAIGAI,qwen-vl-2.5-7b,disgust,0.8857,0.62,0.8857,0.7294,35,False
LAIGAI,qwen-vl-2.5-7b,excitement,0.85,0.4857,0.85,0.6182,20,False
LAIGAI,qwen-vl-2.5-7b,fear,0.4762,0.9091,0.4762,0.625,42,False
LAIGAI,qwen-vl-2.5-7b,joy,0.44,0.6804,0.44,0.5344,150,False
LAIGAI,qwen-vl-2.5-7b,neutral,0.2381,0.8333,0.2381,0.3704,42,False
LAIGAI,qwen-vl-2.5-7b,nurturant love,0.0,0.0,0.0,0.0,14,False
LAIGAI,qwen-vl-2.5-7b,sadness,0.8333,0.7576,0.8333,0.7937,60,False
LAIGAI,llava-vl-vicuna-7b,amusement,0.12,0.5,0.12,0.1935,25,False
LAIGAI,llava-vl-vicuna-7b,anger,0.0714,0.25,0.0714,0.1111,14,False
LAIGAI,llava-vl-vicuna-7b,attachment love,0.0,0.0,0.0,0.0,8,False
LAIGAI,llava-vl-vicuna-7b,awe,0.9667,0.1028,0.9667,0.1859,30,False
LAIGAI,llava-vl-vicuna-7b,craving,0.15,1.0,0.15,0.2609,40,False
LAIGAI,llava-vl-vicuna-7b,disgust,0.4571,1.0,0.4571,0.6275,35,False
LAIGAI,llava-vl-vicuna-7b,excitement,0.0,0.0,0.0,0.0,20,False
LAIGAI,llava-vl-vicuna-7b,fear,0.0238,0.3333,0.0238,0.0444,42,False
LAIGAI,llava-vl-vicuna-7b,joy,0.3933,0.8194,0.3933,0.5315,150,False
LAIGAI,llava-vl-vicuna-7b,neutral,0.0,0.0,0.0,0.0,42,False
LAIGAI,llava-vl-vicuna-7b,nurturant love,0.0,0.0,0.0,0.0,14,False
LAIGAI,llava-vl-vicuna-7b,sadness,0.9167,0.618,0.9167,0.7383,60,False
