dataset,model,emotion,accuracy,precision,recall,f1_score,num_samples,blocked_filtered
LAIGAI,glm-vl-4.1-9b,joy,0.4267,0.7033,0.4267,0.5311,150,False
LAIGAI,glm-vl-4.1-9b,neutral,0.4524,0.6786,0.4524,0.5429,42,False
LAIGAI,glm-vl-4.1-9b,nurturant love,0.1429,0.1667,0.1429,0.1538,14,False
LAIGAI,glm-vl-4.1-9b,sadness,0.5667,0.7907,0.5667,0.6602,60,False
LAIGAI,gpt-4.1,amusement,0.88,0.6471,0.88,0.7458,25,True
LAIGAI,gpt-4.1,anger,0.1429,0.6667,0.1429,0.2353,14,True
LAIGAI,gpt-4.1,attachment love,1.0,0.1429,1.0,0.25,8,True
LAIGAI,gpt-4.1,awe,0.8667,0.5417,0.8667,0.6667,30,True
LAIGAI,gpt-4.1,craving,1.0,1.0,1.0,1.0,40,True
LAIGAI,gpt-4.1,disgust,0.9714,0.6296,0.9714,0.764,35,True
LAIGAI,gpt-4.1,excitement,0.9,0.72,0.9,0.8,20,True
LAIGAI,gpt-4.1,fear,0.9524,0.7018,0.9524,0.8081,42,True
LAIGAI,gpt-4.1,joy,0.3467,0.9123,0.3467,0.5024,150,True
LAIGAI,gpt-4.1,neutral,0.5238,0.7857,0.5238,0.6286,42,True
LAIGAI,gpt-4.1,nurturant love,0.8571,0.375,0.8571,0.5217,14,True
LAIGAI,gpt-4.1,sadness,0.6333,0.8261,0.6333,0.717,60,True
LAIGAI,gemma-vl-3-27b,amusement,0.72,0.7826,0.72,0.75,25,False
LAIGAI,gemma-vl-3-27b,anger,0.0714,0.3333,0.0714,0.1176,14,False
LAIGAI,gemma-vl-3-27b,attachment love,0.625,0.3571,0.625,0.4545,8,False
LAIGAI,gemma-vl-3-27b,awe,0.8667,0.5532,0.8667,0.6753,30,False
LAIGAI,gemma-vl-3-27b,craving,1.0,0.9756,1.0,0.9877,40,False
LAIGAI,gemma-vl-3-27b,disgust,0.9429,0.8049,0.9429,0.8684,35,False
LAIGAI,gemma-vl-3-27b,excitement,0.65,0.6842,0.65,0.6667,20,False
LAIGAI,gemma-vl-3-27b,fear,0.9524,0.8163,0.9524,0.8791,42,False
LAIGAI,gemma-vl-3-27b,joy,0.66,0.8462,0.66,0.7416,150,False
LAIGAI,gemma-vl-3-27b,neutral,0.5476,0.7931,0.5476,0.6479,42,False
LAIGAI,gemma-vl-3-27b,nurturant love,0.7143,0.4167,0.7143,0.5263,14,False
LAIGAI,gemma-vl-3-27b,sadness,0.9,0.7397,0.9,0.812,60,False
